Word/Phrase,TF-IDF_Average,Primary_Sentiment,Sentiment_Coefficient,negative_coef,neutral_coef,positive_coef
to,0.05805177998993986,positive,-0.8727199668919987,0.5262939229335742,0.3464260439584268,-0.8727199668919987
is,0.043451083099195154,negative,-0.7436332157044285,-0.7436332157044285,0.4994517943371499,0.24418142136725915
it,0.04166341172810456,neutral,0.7977156927828195,-0.6558875641846047,0.7977156927828195,-0.1418281285982118
of,0.03676931762138713,negative,-0.46698486499848324,-0.46698486499848324,0.046134206335278566,0.4208506586632102
this,0.03551824010674867,negative,0.6752322740721964,0.6752322740721964,-0.44536168984396474,-0.22987058422821924
was,0.035403190987524355,neutral,0.2880269155770867,-0.050889921684867626,0.2880269155770867,-0.2371369938922096
my,0.03539265210672872,positive,1.670414587925163,-1.2374748920748573,-0.43293969585033404,1.670414587925163
in,0.03468817732728701,negative,0.21526379665237244,0.21526379665237244,-0.14790823871384756,-0.06735555793852652
they,0.03368288343223632,neutral,-0.4726457006391677,0.4640949544612137,-0.4726457006391677,0.008550746177956653
starbucks,0.03364592145731434,negative,-0.7803199754692602,-0.7803199754692602,0.1097493686158575,0.6705706068533899
for,0.02981160535143689,negative,0.10686225153383287,0.10686225153383287,-0.08219181769920807,-0.024670433834631005
you,0.027048981938400364,positive,0.9111051169306156,-0.16689657450215067,-0.7442085424284638,0.9111051169306156
that,0.02631923784853374,positive,-0.29041143529262886,0.10310190291534582,0.18730953237728137,-0.29041143529262886
but,0.02445497114292204,neutral,2.432437123474283,-0.988473307665123,2.432437123474283,-1.4439638158091614
are,0.024425124007834673,negative,-0.16918705611345014,-0.16918705611345014,0.12906691507954274,0.040120141033912
coffee,0.02360160561358454,positive,-0.6588666043760143,0.5347897756384755,0.12407682873753398,-0.6588666043760143
have,0.023304354152639876,negative,-0.2616972907350906,-0.2616972907350906,0.11155494433571025,0.15014234639937996
with,0.02281194713498935,positive,0.7196830697895069,-0.4900684638012966,-0.229614605988219,0.7196830697895069
not,0.02275333580775967,positive,-3.4891137145158244,2.6683025511507097,0.8208111633651027,-3.4891137145158244
on,0.022424005624723596,neutral,-0.42903591910806366,0.39183740722028637,-0.42903591910806366,0.03719851188777805
at,0.02212823788926364,positive,-0.7935420021287214,0.5441482589387526,0.24939374318997787,-0.7935420021287214
location,0.02155351259438022,negative,-0.7852849873874356,-0.7852849873874356,0.4914512563532996,0.2938337310341297
so,0.020384937083530317,negative,-1.1975216750098596,-1.1975216750098596,0.282943760352934,0.9145779146569236
there,0.019740310571197253,positive,-0.17512046574998685,0.157437083946128,0.017683381803861548,-0.17512046574998685
always,0.019695472929905592,positive,1.9784546113747576,-1.490886371076065,-0.48756824029869783,1.9784546113747576
me,0.01951316550567643,positive,0.8063137819766143,-0.010901977911179087,-0.7954118040654353,0.8063137819766143
service,0.019121455837251434,positive,-0.054003022527543604,0.04591835134422874,0.00808467118331584,-0.054003022527543604
here,0.018051602682352976,negative,-1.1167042470893518,-1.1167042470893518,0.1276260337172405,0.9890782133721059
drink,0.018035743960610234,positive,-0.6418278034851288,0.6050892602477047,0.03673854323742051,-0.6418278034851288
one,0.017753653392050484,neutral,-0.4022614283530588,0.14172309680927941,-0.4022614283530588,0.2605383315437764
order,0.017722955270724948,negative,0.40894578922687636,0.40894578922687636,-0.11231825252314823,-0.2966275367037277
get,0.017676081625998635,negative,0.4825744296320293,0.4825744296320293,-0.47923952456942864,-0.0033349050625988245
be,0.017191616229784264,neutral,0.5108068752405296,-0.04344527910176111,0.5108068752405296,-0.4673615961387719
staff,0.0170660361844559,positive,0.897008413745316,-0.3475152681121815,-0.5494931456331418,0.897008413745316
